Rank,Candidate,Final_Score,TF_IDF_Score,Skill_Score,Skills_Found,Matched_Skills,Missing_Skills,Fit_Label
1,Candidate_77,20.7,25.62,13.33,8,"linux, communication","java, r, bash, python, excel",Not Fit
2,Candidate_42,19.95,24.36,13.33,7,"excel, communication","java, r, bash, python, perl",Not Fit
3,Candidate_90,19.93,19.89,20.0,9,"excel, sql, communication","java, r, bash, python, perl",Not Fit
4,Candidate_64,18.51,17.51,20.0,3,"linux, communication, azure","java, r, bash, python, excel",Not Fit
5,Candidate_76,15.94,8.79,26.67,4,"r, excel, sql, communication","java, bash, python, perl, ansible",Not Fit
6,Candidate_47,14.49,19.7,6.67,2,communication,"java, r, bash, python, excel",Not Fit
7,Candidate_85,14.42,10.7,20.0,7,"java, excel, sql","r, bash, python, perl, ansible",Not Fit
8,Candidate_55,14.19,14.77,13.33,4,"excel, sql","java, r, bash, python, perl",Not Fit
9,Candidate_63,14.07,14.56,13.33,4,"excel, communication","java, r, bash, python, perl",Not Fit
10,Candidate_53,13.97,14.4,13.33,2,"excel, communication","java, r, bash, python, perl",Not Fit
11,Candidate_9,13.5,13.61,13.33,3,"excel, communication","java, r, bash, python, perl",Not Fit
12,Candidate_20,13.01,12.79,13.33,4,"excel, communication","java, r, bash, python, perl",Not Fit
13,Candidate_87,12.93,8.21,20.0,4,"r, excel, communication","java, bash, python, perl, ansible",Not Fit
14,Candidate_100,12.89,12.6,13.33,2,"excel, sql","java, r, bash, python, perl",Not Fit
15,Candidate_43,12.57,12.06,13.33,2,"sql, communication","java, r, bash, python, excel",Not Fit
16,Candidate_95,12.4,11.78,13.33,2,"excel, communication","java, r, bash, python, perl",Not Fit
17,Candidate_57,12.24,11.52,13.33,4,"excel, communication","java, r, bash, python, perl",Not Fit
18,Candidate_94,12.14,11.34,13.33,3,"excel, communication","java, r, bash, python, perl",Not Fit
19,Candidate_38,12.01,6.68,20.0,4,"r, excel, communication","java, bash, python, perl, ansible",Not Fit
20,Candidate_41,11.81,10.8,13.33,2,"sql, communication","java, r, bash, python, excel",Not Fit
21,Candidate_83,11.18,9.75,13.33,2,"excel, communication","java, r, bash, python, perl",Not Fit
22,Candidate_24,11.04,9.51,13.33,2,"excel, communication","java, r, bash, python, perl",Not Fit
23,Candidate_66,10.9,13.72,6.67,5,communication,"java, r, bash, python, excel",Not Fit
24,Candidate_68,10.79,13.53,6.67,1,communication,"java, r, bash, python, excel",Not Fit
25,Candidate_69,10.68,17.8,0.0,1,None,"java, r, bash, python, excel",Not Fit
26,Candidate_32,10.41,12.91,6.67,4,communication,"java, r, bash, python, excel",Not Fit
27,Candidate_33,10.26,12.65,6.67,5,communication,"java, r, bash, python, excel",Not Fit
28,Candidate_3,10.16,8.04,13.33,6,"excel, communication","java, r, bash, python, perl",Not Fit
